population	plot	 family 	block	d13c
meiss mdw	MM1	250	1	-30.709
meiss mdw	MM1	250	2	-30.546
meiss mdw	MM1	251	2	-32.308
meiss mdw	MM1	251	5	-32.224
meiss mdw	MM1	251	3	-32.212
meiss mdw	MM1	251	4	-31.095
meiss mdw	MM1	251	1	-30.918
meiss mdw	MM1	253	3	-33.031
meiss mdw	MM1	253	4	-32.087
meiss mdw	MM1	253	1	-31.396
meiss mdw	MM1	253	2	-31.159
meiss mdw	MM1	253	5	-30.67
